ID,Pred_well_being_index
886447,0.045543153
687564,0.051057037
494935,0.048826788
378919,0.04985895
421878,0.042618323
949719,0.04384561
898972,0.04891461
375574,0.052598856
569844,0.19159208
654472,0.18675873
101940,0.17497715
153843,0.15536536
381662,0.13956517
624052,0.0867479
939375,0.123964556
164310,0.175215
900632,0.15623362
175032,0.1707048
867872,0.16114719
256577,0.16236869
288496,0.19772322
618381,0.19834594
231901,0.20332564
179358,0.19756822
192005,0.042524286
298577,0.043999195
942058,0.042647522
470561,0.04145952
325435,0.042618323
957155,0.044506207
179606,0.042524286
589467,0.050896533
950555,0.042524286
877326,0.042524286
244798,0.04384561
372861,0.04269599
990512,0.061473772
362014,0.09875661
285518,0.077145554
396661,0.07899275
909004,0.16478793
835410,0.16123128
668839,0.161671
197160,0.17301832
477910,0.16638134
127790,0.15690275
278551,0.15949829
355696,0.1736254
219016,0.08551403
165043,0.05445477
490373,0.05377859
855980,0.05377859
938424,0.050814237
647622,0.04446165
119825,0.043330796
156794,0.046289936
923580,0.04914293
487140,0.051011648
866086,0.061859794
452935,0.056788996
169028,0.053830687
580970,0.068057865
955095,0.0633396
941913,0.06468816
245773,0.10566769
193213,0.06601454
819526,0.08824711
217776,0.110793464
967306,0.042524286
175117,0.042524286
839729,0.042524286
820458,0.042524286
106612,0.042524286
494836,0.042524286
120162,0.042647522
324312,0.048742905
97466,0.09704748
215356,0.10404184
652733,0.12040964
247966,0.1273998
400311,0.055234607
519043,0.055550717
450315,0.05964412
127267,0.055779345
538837,0.044691272
158925,0.043463986
110538,0.045059916
595603,0.05195911
667497,0.11535501
520999,0.08706958
583127,0.12214109
510855,0.13836136
671228,0.112688705
393153,0.12601687
612344,0.14057712
760829,0.12462822
221096,0.042524286
552726,0.042524286
760702,0.042524286
869730,0.042647522
584338,0.064475566
855416,0.0674181
344665,0.061596382
691636,0.06859778
15596,0.048836943
346267,0.042524286
283256,0.042618323
359086,0.042618323
760457,0.042647522
429918,0.049018346
461254,0.044402946
738226,0.05205828
959646,0.05489061
609408,0.057101868
129628,0.044339336
906965,0.052972417
526005,0.054084893
871119,0.05307396
415100,0.06464356
176904,0.062066674
133782,0.11553192
761823,0.13469654
912260,0.11445505
840790,0.13827428
940271,0.067024045
793564,0.06050988
773703,0.050513275
459111,0.07147762
561275,0.05144057
153709,0.06470412
161243,0.058796704
793050,0.05700637
728115,0.0842512
434262,0.06696725
717749,0.08395868
627873,0.09624568
954328,0.120676845
473094,0.11392601
282482,0.14979869
874517,0.15341276
305666,0.22618772
566931,0.2187525
286545,0.23308359
781582,0.22758558
494064,0.039881177
905987,0.043968845
249294,0.048431862
855606,0.039881177
760845,0.052783765
839032,0.054444447
506670,0.055079658
126858,0.051760487
954530,0.07561188
904162,0.072262116
997276,0.07914189
676041,0.07385465
592693,0.05780948
859253,0.09425021
936469,0.06410925
349261,0.07987114
336127,0.18566185
106760,0.17478561
202737,0.18703824
725369,0.19673333
524873,0.042524286
478336,0.044506207
248213,0.042618323
931717,0.059747733
936219,0.09180776
573087,0.06526388
847139,0.06411508
136435,0.060046732
911470,0.37252456
795648,0.37006605
380252,0.37047175
830379,0.35948896
239934,0.042448238
243958,0.047512192
381162,0.043376565
832707,0.04616052
862509,0.06276254
542044,0.06863518
594591,0.062622264
369792,0.06310527
165122,0.09093758
316257,0.09523759
342153,0.11688729
861163,0.14768064
419279,0.042524286
986435,0.042524286
287386,0.042524286
921943,0.042524286
643662,0.08446006
425559,0.114281096
425190,0.12783006
375194,0.14184624
205316,0.15291011
362990,0.15091333
885125,0.16073059
729049,0.18416092
255408,0.0418892
889336,0.042524286
567853,0.043968845
881517,0.042819228
862554,0.042524286
689279,0.04384561
619517,0.048836943
589965,0.05055611
378743,0.05922799
889190,0.06580584
126074,0.07030624
